targeting_type,type
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Volkwagen
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Brand > Volvo
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Classic Vehicles
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Compact Cars
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Compact Cars > Compact Cars (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Compact Cars > Compact Cars (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Convertibles
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Convertibles > Convertibles (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Convertibles > Convertibles (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Coupes
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Coupes > Coupes (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Coupes > Coupes (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Crossovers
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Crossovers > Crossovers (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Crossovers > Crossovers (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Diesel Vehicles
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Diesel Vehicles > Diesel Vehicles (New)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Diesel Vehicles > Diesel Vehicles (Used)
In-Market Audiences,Autos & Vehicles > Motor Vehicles > Motor Vehicles by Type > Hatchbacks
